Наименование блюда	Масса порции, г	На порцию				На 100 г блюда			
		Белки, г	Жиры, г	Углеводы, г	Ккал	Белки, г	Жиры, г	Углеводы, г	Ккал
Тефтели с рисом с картофелем запеченным и томатным соусом	300	16,0	29,9	40,3	496	5,3	10,0	13,4	165
Филе куриное гриль с картофельным пюре	200	12,8	9,7	18,9	215	6,4	4,8	9,4	107
Филе куриное гриль с кашей гречневой	200	17,7	10,9	35,4	311	8,9	5,4	17,7	155
Филе куриное гриль с рисом отварным и овощами	200	13,4	12,7	30,3	290	6,7	6,3	15,1	145
Филе куриное гриль с макаронами отварными	200	15,3	13,4	31,8	311	7,7	6,7	15,9	155
Филе куриное гриль с картофелем запеченным	200	13,8	12,4	20,8	251	6,9	6,2	10,4	125
Фрикадельки мясные с макаронами отварными и томатным соусом	250	12,5	22,5	36,9	402	5,0	9,0	14,7	161
Шашлык куриный жареный во фритюре с картофельным пюре	200	7,3	14,2	21,7	245	3,6	7,1	10,9	122
Шашлык куриный жареный во фритюре с макаронами отварными	200	9,8	18,0	34,6	341	4,9	9,0	17,3	170
Шашлык куриный жареный во фритюре с картофелем запеченным	200	8,3	16,9	23,7	281	4,2	8,5	11,8	140
Котлета куриная "Гнездо" с картофельным пюре	200	7,0	17,5	25,3	287	3,5	8,7	12,6	144
Котлета куриная "Гнездо" с макаронами отварными	250	14,3	32,4	44,8	529	5,7	12,9	17,9	212
