# СВЕРКА КБЖУ — Фабрика Вкусно
"# Источник ""этикетка"": данные с этикеток вторых блюд (точные, на порцию) — 83 блюда, проверять не нужно."
"# Источник ""расчёт (bzhu)"": прочие блюда (салаты, супы, выпечка, бутерброды и т.п.) — ккал пересчитана по Б/Ж/У."
# Значения даны и на 100 г, и на порцию. Отсортировано по ккал/100г (сверху самые калорийные).
"# Пометка ""ПРОВЕРИТЬ"": ккал/100г >= 350 у блюд НЕ с этикетки — кандидаты на сверку с рецептурой."

Название;Источник;Вес порции г;Ккал/100г;Б/100г;Ж/100г;У/100г;Ккал порция;Б порция;Ж порция;У порция;Пометка
Отбивная куриная «Особенная» с кашей гречневой;этикетка;250;169;8.8;7.4;16.7;422;22;18.5;41.7;
Сосиски отварные с макаронами отварными;этикетка;250;168;5.5;9.6;14.6;419;13.8;24.1;36.5;
Котлета из индейки на гриле с картофельным пюре;этикетка;240;168;4.5;11.0;12.8;404;10.8;26.4;30.6;
Блинчик с сосисками и картофелем;расчёт (bzhu);220;166;7.0;10.0;12.0;365;15.4;22;26.4;
Биточек куриный с макаронами отварными;этикетка;225;166;7.0;7.7;17.0;373;15.7;17.3;38.3;
Биточек куриный с кашей гречневой;этикетка;225;166;8.0;6.5;18.6;373;18.1;14.7;41.9;
Тефтели с рисом и томатным соусом с картофелем запечённым;этикетка;300;165;5.3;10.0;13.4;496;16;29.9;40.3;
Котлета «По-хлыновски» с картофелем запечённым;этикетка;250;163;4.8;10.6;12.1;408;11.9;26.5;30.2;
Салат с говядиной и морковью;расчёт (bzhu);140;162;6.0;14.0;3.0;227;8.4;19.6;4.2;
Котлета домашняя с картофельным пюре;этикетка;250;162;5.2;9.8;13.2;406;12.9;24.6;33;
Блинчики «Цезарь»;расчёт (bzhu);180;162;12.0;6.0;15.0;292;21.6;10.8;27;
Свинина под овощами с макаронами отварными;этикетка;250;161;5.9;7.4;17.5;402;14.8;18.5;43.8;
Свинина под овощами с кашей гречневой;этикетка;250;161;6.9;6.4;19.0;402;17.2;15.9;47.4;
Отбивная куриная в кляре с картофельным пюре;этикетка;230;161;5.9;10.4;10.9;370;13.5;23.9;25;
Салат закусочный с курицей и ананасом;расчёт (bzhu);140;160;7.0;12.0;6.0;224;9.8;16.8;8.4;
Отбивная куриная «Особенная» с рисом отварным и овощами;этикетка;250;160;7.1;8.1;14.6;401;17.7;20.3;36.6;
Поджарка из минтая с картофельным пюре;этикетка;250;159;4.9;10.9;10.1;397;12.3;27.3;25.2;
Печень «По-строгановски» с макаронами отварными;этикетка;250;157;9.5;6.8;14.2;392;23.8;17.1;35.5;
Печень «По-строгановски» с кашей гречневой;этикетка;250;157;10.5;5.8;15.6;392;26.2;14.5;39.1;
Филе куриное гриль с макаронами отварными;этикетка;200;156;7.7;6.7;15.9;311;15.3;13.4;31.8;
Филе куриное гриль с кашей гречневой;этикетка;200;156;8.8;5.5;17.7;311;17.7;10.9;35.4;
Салат «Сельдь под шубой»;расчёт (bzhu);140;156;6.0;12.0;6.0;218;8.4;16.8;8.4;
Биточек куриный с рисом отварным и овощами;этикетка;225;156;6.1;7.3;16.4;352;13.7;16.5;36.8;
Тефтели с рисом с картофельным пюре и томатным соусом;этикетка;300;153;5.0;9.1;12.8;460;15;27.2;38.3;
Котлета «По-хлыновски» с картофельным пюре;этикетка;250;149;4.4;9.5;11.3;372;10.9;23.8;28.2;
Гуляш из говядины с макаронами отварными;этикетка;250;149;8.3;6.6;13.8;372;20.8;16.6;34.5;
Гуляш из говядины с кашей гречневой;этикетка;250;149;9.3;5.6;15.2;372;23.2;14;38.1;
Рулет куриный с картофелем запечённым;этикетка;250;147;6.5;9.0;9.8;368;16.3;22.6;24.6;
Филе куриное гриль с рисом отварным и овощами;этикетка;200;145;6.7;6.3;15.2;290;13.4;12.7;30.3;
Отбивная куриная «Особенная» с картофелем запечённым;этикетка;250;145;7.2;8.0;10.9;362;18.1;20;27.2;
"Котлета ""Киевская"" с картофельным пюре";этикетка;250;145;6.8;7.4;12.6;362;17.1;18.5;31.6;
Рыба жареная в кляре с картофельным пюре;этикетка;240;144;7.0;8.8;9.1;345;16.7;21.2;21.8;
Салат «Оливье»;расчёт (bzhu);140;143;5.0;11.0;6.0;200;7;15.4;8.4;
Шашлык куриный жареный во фритюре с картофелем запечённым;этикетка;200;140;4.2;8.4;11.8;281;8.3;16.9;23.7;
Биточек куриный с картофелем запечённым;этикетка;225;139;6.3;7.2;12.1;313;14.2;16.2;27.3;
Свинина под овощами с картофелем запечённым;этикетка;250;137;5.3;7.0;13.2;342;13.3;17.4;32.9;
Салат № 1 с курицей и огурцом;расчёт (bzhu);140;137;13.0;9.0;1.0;192;18.2;12.6;1.4;
